"","idMvt","conf","xsaisi","ysaisi","epsg","num_insee","commune","lieu_dit","typeMvt","libelleType","fiabiliteType","libelleFiabilite","PrecDate","libelleDate","prec_xy","libellePrec","longitudeDoublePrec","latitudeDoublePrec","NUM_POSTE","NOM_USUEL","LAT","LON","ALTI","AAAAMM","RR","QRR","NBRR","RR_ME","RRAB","QRRAB","RRABDAT","NBJRR1","NBJRR5","NBJRR10","NBJRR30","NBJRR50","NBJRR100","PMERM","QPMERM","NBPMERM","PMERMINAB","QPMERMINAB","PMERMINABDAT","TX","QTX","NBTX","TX_ME","TXAB","QTXAB","TXDAT","TXMIN","QTXMIN","TXMINDAT","NBJTX0","NBJTX25","NBJTX30","NBJTX35","NBJTXI20","NBJTXI27","NBJTXS32","TN","QTN","NBTN","TN_ME","TNAB","QTNAB","TNDAT","TNMAX","QTNMAX","TNMAXDAT","NBJTN5","NBJTN10","NBJTNI10","NBJTNI15","NBJTNI20","NBJTNS20","NBJTNS25","NBJGELEE","TAMPLIM","QTAMPLIM","TAMPLIAB","QTAMPLIAB","TAMPLIABDAT","NBTAMPLI","TM","QTM","NBTM","TMM","QTMM","NBTMM","NBJTMS24","TMMIN","QTMMIN","TMMINDAT","TMMAX","QTMMAX","TMMAXDAT","UNAB","QUNAB","UNABDAT","NBUN","UXAB","QUXAB","UXABDAT","NBUX","UMM","QUMM","NBUM","TSVM","QTSVM","NBTSVM","ETP","QETP","FXIAB","QFXIAB","DXIAB","QDXIAB","FXIDAT","NBJFF10","NBJFF16","NBJFF28","NBFXI","FXI3SAB","QFXI3SAB","DXI3SAB","QDXI3SAB","FXI3SDAT","NBJFXI3S10","NBJFXI3S16","NBJFXI3S28","NBFXI3S","FXYAB","QFXYAB","DXYAB","QDXYAB","FXYABDAT","NBJFXY8","NBJFXY10","NBJFXY15","NBFXY","FFM","QFFM","NBFFM","INST","QINST","NBINST","NBSIGMA0","NBSIGMA20","NBSIGMA80","GLOT","QGLOT","NBGLOT","DIFT","QDIFT","NBDIFT","DIRT","QDIRT","NBDIRT","HNEIGEFTOT","QHNEIGEFTOT","HNEIGEFAB","QHNEIGEFAB","HNEIGEFDAT","NBHNEIGEF","NBJNEIG","NBJHNEIGEF1","NBJHNEIGEF5","NBJHNEIGEF10","NBJSOLNG","NEIGETOTM","QNEIGETOTM","NEIGETOTAB","QNEIGETOTAB","NEIGETOTABDAT","NBJNEIGETOT1","NBJNEIGETOT10","NBJNEIGETOT30","NBJGREL","NBJORAG","NBJBROU"
"572",22300925,"C",943041.015625,2032413.94042969,27562,73322,"VILLARODIN-BOURGET","REMOLA",3,"Coulée",1,"Fort",2,"Mois",5,"Commune",6.7040778664587,45.2064961431184,1034001,"BELLEY MAN",45.755,5.686667,277,197005,66.4,1,31,NA,17.2,1,29,12,5,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"573",22300006,"C",871351.989746094,2066797.11914062,27562,73001,"AIGUEBELETTE-LE-LAC","BOYAT",3,"Coulée",1,"Fort",2,"Mois",5,"Commune",5.81202721466107,45.547584904386,1034001,"BELLEY MAN",45.755,5.686667,277,199112,124.4,1,31,NA,78.8,1,21,6,6,2,1,1,0,NA,NA,0,NA,NA,NA,5,1,31,NA,9.8,1,22,-0.2,1,31,1,0,0,0,31,31,0,-0.8,1,31,NA,-5.2,1,15,5.4,1,23,1,0,31,31,31,0,0,20,5.7,1,9.6,1,27,31,2.1,1,31,NA,NA,0,NA,-2.2,1,31,7.1,1,23,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"574",22300613,"C",914000,2042800.04882812,27562,73203,"PONTAMAFREY-MONTPASCAL","RAVOIRE (TORRENT DE LA )",3,"Coulée",1,"Fort",2,"Mois",3,"Hectomètre",6.34173317172905,45.3136996585236,1034001,"BELLEY MAN",45.755,5.686667,277,196505,132.6,1,31,NA,23,1,5,12,8,6,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"575",22300614,"C",914000,2042800.04882812,27562,73203,"PONTAMAFREY-MONTPASCAL","RAVOIRE (TORRENT DE LA)",3,"Coulée",1,"Fort",2,"Mois",3,"Hectomètre",6.34173317172905,45.3136996585236,97407505,"LE PORT-POINTE DES GALETS",-20.929167,55.294167,6,192407,119,9,31,NA,60,9,9,6,6,4,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576",22300572,"C",931176.025390625,2031146.97265625,27562,73194,"ORELLE","BRONSONNIERE",3,"Coulée",1,"Fort",2,"Mois",5,"Commune",6.55244562199372,45.2009398313024,1034001,"BELLEY MAN",45.755,5.686667,277,197403,43.9,1,31,NA,19.7,1,16,6,3,2,0,0,0,NA,NA,0,NA,NA,NA,13.3,1,31,NA,20.8,1,25,3.8,1,3,0,0,0,0,28,31,0,4.4,1,31,NA,-2,1,6,9.8,1,27,0,0,31,31,31,0,0,5,8.9,1,16.6,1,18,31,8.8,1,31,NA,NA,0,NA,2,1,1,13.8,1,29,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"577",22300573,"C",931176.025390625,2031146.97265625,27562,73194,"ORELLE","POUSSET (TORRENT DU)",3,"Coulée",1,"Fort",2,"Mois",5,"Commune",6.55244562199372,45.2009398313024,1034001,"BELLEY MAN",45.755,5.686667,277,197805,90.4,1,31,NA,15.6,1,18,14,9,1,0,0,0,NA,NA,0,NA,NA,NA,18.6,1,31,NA,26.8,1,30,11.8,1,13,0,3,0,0,18,31,0,9.6,1,31,NA,5,1,3,13.4,1,17,0,0,19,31,31,0,0,0,9,1,16,1,30,31,14.1,1,31,NA,NA,0,NA,8.7,1,1,18.8,1,30,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"578",22300574,"C",928200.012207031,2032400.02441406,27562,73194,"ORELLE","POUSSET (TORRENT DU)",3,"Coulée",1,"Fort",2,"Mois",3,"Hectomètre",6.51547971729514,45.2136240192686,1034001,"BELLEY MAN",45.755,5.686667,277,195706,222.5,1,30,NA,50.1,1,22,14,10,7,3,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579",22300575,"C",931176.025390625,2031146.97265625,27562,73194,"ORELLE","FRANCOZ",3,"Coulée",1,"Fort",2,"Mois",5,"Commune",6.55244562199372,45.2009398313024,1034001,"BELLEY MAN",45.755,5.686667,277,199207,88,1,31,NA,17.2,1,12,13,5,5,0,0,0,NA,NA,0,NA,NA,NA,28.5,1,31,NA,34.2,1,30,20.8,1,1,0,24,14,0,0,13,8,15.9,1,31,NA,11,1,13,20.2,1,21,0,0,0,13,30,1,0,0,12.6,1,18.4,1,15,31,22.2,1,31,NA,NA,0,NA,17.8,1,1,26.5,1,31,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
"580",22300214,"C",909934.997558594,2054960.9375,27562,73074,"LA CHAPELLE","LA CHAPELLE",3,"Coulée",1,"Fort",1,"Jour",5,"Commune",6.29778054136067,45.4248119059792,97407505,"LE PORT-POINTE DES GALETS",-20.929167,55.294167,6,190507,44.1,9,31,NA,22,9,28,4,3,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581",22300470,"C",940361.999511719,2067979.00390625,27562,73150,"MACOT-LA-PLAGNE","TORRENT DU MACOT",3,"Coulée",1,"Fort",2,"Mois",5,"Commune",6.69511947634028,45.5272830951587,1010001,"ANGLEFORT",45.9,5.766667,280,198106,71.3,1,30,NA,27.2,1,9,6,4,3,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
