idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"12200025";;"920048.099999999977";"2035234.00878905994";"27572";"73173";"MONTRICHER-ALBANNE";"1992-09-23";;"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"6.41373956955445035";"45.242931713580198";
"22300143";"C";"930882.019042968983";"2059430.90820312989";"27562";"73057";"BRIDES-LES-BAINS";"1995-02-01";"BRIDES";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"5";"Commune";"6.56807299240356013";"45.4551550641255986";
"50002280";;"923000";"2067100.09765625";"27572";"73187";"LA LECHERE";"1987-08-27";"CD 97 USINE UNION CARBID";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.47261649125945038";"45.5278218883679031";
"50002281";;"923000";"2067500";"27572";"73187";"LA LECHERE";"1988-02-07";"CD 97 CIMETIERE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.47288575393922994";"45.5314154466661023";
"50002282";;"928136";"2073350";"27572";"73187";"LA LECHERE";;"""NOTRE-DAME-DE-BRIANCON"",RN 90";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.54253743495104967";"45.5815197397019034";
"50002283";;"928136";"2073350";"27572";"73187";"LA LECHERE";"1983-02-15";"FALAISE DE ""PIERRE-CHATEAU""";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.54253743495104967";"45.5815197397019034";
"12800091";;"927667";"2061443.11523437989";"27572";"73284";"SALINS-LES-THERMES";"1995-12-24";""" La Vierge Noire "" ou "" Rocher de la Vierge """;"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"5";"Commune";"6.52840660113085036";"45.4747783307211009";
"50001739";;"915309";"2031080";"27572";"73013";"ALBIEZ-MONTROND";;;"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.35077385884568013";"45.2078062078850991";
"50002287";;"928136";"2073350";"27572";"73187";"LA LECHERE";"1981-03-01";"""GRAND-MAISON""";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.54253743495104967";"45.5815197397019034";
"50002272";;"928136";"2073350";"27572";"73187";"LA LECHERE";"1900-01-01";"CONTAMINES D'EN BAS";"2";"Chute de blocs / Eboulement";"2";"Moyen";"6";"Siècle";"5";"Commune";"6.54253743495104967";"45.5815197397019034";
"50001756";;"912809.99755859375";"2060274.90234375";"27572";"73019";"ARGENTINE";;"CRETES CHAINE DE LA LAUZIERE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.33791642595734039";"45.471247013595999";
"50001754";;"912475";"2061607";"27572";"73019";"ARGENTINE";"1951-05-29";"LE FAY";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.33450438188452036";"45.4833677752634031";
"50001753";;"891894";"2063406";"27572";"73018";"ARBIN";;;"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.07268442833182043";"45.5086368057271002";
"50002724";;"927157";"2035583";"27572";"73261";"SAINT-MICHEL-DE-MAURIENNE";"1961-03-09";"TORRENT DE LA GROLLAZ";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.50437098760311994";"45.2427147602253967";
"50001763";;"943525.0244140625";"2033375";"27572";"73026";"AVRIEUX";;"LE BOURGET-AUSSOIS (CD 215)";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.71090749149643973";"45.2148856125539993";
"50001749";;"931704";"2051943";"27572";"73015";"LES ALLUES";"1982-01-07";"CD 90";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.57340868656986022";"45.3874916266222002";
"50001750";;"931704";"2051943";"27572";"73015";"LES ALLUES";;"RD DU TORRENT DU DORON";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.57340868656986022";"45.3874916266222002";
"50001772";;"921150.0244140625";"2077149.90234375";"27572";"73032";"LA BATHIE";;"TORRENT DE BENETANT";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.45570751438994961";"45.6189848251595009";
